TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,3212,3212,0,2,egress,2023 MAR 18 17:50:08,SO ON
1,1,3205,3205,0,4,egress,2023 MAR 18 21:45:47,SO ON
1,1,905,905,0,6,egress,2023 MAR 19 01:41:28,SO ON
1,1,767,767,0,11,egress,2023 MAR 19 11:30:43,SO ON
1,1,3233,3233,0,13,egress,2023 MAR 19 15:26:31,SO ON
1,1,3225,3225,0,16,egress,2023 MAR 19 21:20:00,SO ON
1,1,905,905,0,17,egress,2023 MAR 19 23:17:49,SO ON
1,1,3122,3122,0,19,egress,2023 MAR 20 03:13:31,SO ON
1,1,749,749,0,22,egress,2023 MAR 20 09:07:06,SO ON
1,1,905,905,0,25,egress,2023 MAR 20 15:00:34,SO ON
1,1,3126,3126,0,26,egress,2023 MAR 20 16:58:26,SO ON
1,1,53,53,0,28,egress,2023 MAR 20 20:54:04,SO ON
1,1,3205,3205,0,31,egress,2023 MAR 21 02:47:30,SO ON
1,1,3203,3203,0,32,egress,2023 MAR 21 04:45:22,SO ON
1,1,46,46,0,34,egress,2023 MAR 21 08:41:05,SO ON
1,1,749,749,0,37,egress,2023 MAR 21 14:34:29,SO ON
1,1,755,755,0,38,egress,2023 MAR 21 16:32:21,SO ON
1,1,1397,1397,0,40,egress,2023 MAR 21 20:27:57,SO ON
1,1,929,929,0,43,egress,2023 MAR 22 02:21:18,SO ON
1,1,3206,3206,0,46,egress,2023 MAR 22 08:14:49,SO ON
1,1,3205,3205,0,50,egress,2023 MAR 22 16:05:58,SO ON
1,1,3220,3220,0,52,egress,2023 MAR 22 20:01:33,SO ON
1,1,3202,3202,0,56,egress,2023 MAR 23 03:52:36,SO ON
1,1,821,821,0,57,egress,2023 MAR 23 05:50:25,SO ON
1,1,3210,3210,0,61,egress,2023 MAR 23 13:41:26,SO ON
1,1,3185,3185,0,63,egress,2023 MAR 23 17:37:02,SO ON
1,1,1397,1397,0,64,egress,2023 MAR 23 19:34:47,SO ON
1,1,53,53,0,67,egress,2023 MAR 24 01:27:54,SO ON
1,1,1397,1397,0,69,egress,2023 MAR 24 05:23:22,SO ON
1,1,809,809,0,74,egress,2023 MAR 24 15:11:55,SO ON
1,1,1193,1193,0,76,egress,2023 MAR 24 19:07:21,SO ON
1,1,785,785,0,78,egress,2023 MAR 24 23:02:37,SO ON
3,1,31,31,0,79,egress,2023 MAR 25 01:00:15,SO ON
1,1,1397,1397,0,81,egress,2023 MAR 25 04:55:31,SO ON
1,1,3219,3219,0,84,egress,2023 MAR 25 10:48:30,SO ON
1,1,3127,3127,0,87,egress,2023 MAR 25 16:41:03,SO ON
1,1,3211,3211,0,88,egress,2023 MAR 25 18:38:34,SO ON
1,1,3128,3128,0,327,egress,2023 APR 14 07:29:14,SO ON
1,1,2723,2723,0,330,egress,2023 APR 14 13:23:39,SO ON
1,1,3222,3222,0,332,egress,2023 APR 14 17:20:06,SO ON
1,1,3213,3213,0,333,egress,2023 APR 14 19:18:19,SO ON
1,1,3222,3222,0,335,egress,2023 APR 14 23:14:31,SO ON
1,1,3219,3219,0,337,egress,2023 APR 15 03:10:43,SO ON
1,1,1781,1781,0,340,egress,2023 APR 15 09:05:13,SO ON
